track,artist,album
Eller Gibiyim,İlhan Şeşen,Şimdi Ben Bu Şarkıları Kime Söyliyeyim
Sev,Beyza Demir,Sev
Kafeste,Kahraman Deniz,19
Suç Mahalli,Kahraman Deniz,19
Böyle Sever,Kahraman Deniz,19
Doğal Afetim,Kahraman Deniz,19
Kızılgerdan,Can Kazaz,Kızılgerdan
Nehir - İşte Bu Benim Masalım Soundtrack,Aleyna Tilki,Nehir (İşte Bu Benim Masalım Soundtrack)
Sen Banasın,Cihan Mürtezaoğlu,Bitsin Bu Delilik
Kınalıada,Nilipek.,Sabah
Sağanak Yağmurlu Şarkı,Nilipek.,Sabah
